Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,
5751,10.74,38.50%,0.0016,0.01056816
5752,11.16,30.30%,0.0015,0.01166778
5753,12.7,12.44%,0.0008,0.008896096
5754,3.68,31.38%,0.0028,0.0070706048
5755,3.84,25.82%,0.0034,0.0096849408
5756,11.43,38.62%,0.0068,0.0477069912
5757,23.45,35.91%,0.0023,0.0345669415
5758,5.77,14.98%,0.0093,0.0456225822
5759,4.78,24.78%,0.0032,0.0115056512
5760,10.87,10.82%,0.0004,0.0038775464
5761,24.96,13.75%,0.0035,0.075348
5762,18.19,15.59%,0.0078,0.1197625962
5763,24.26,11.35%,0.0036,0.077423364
5764,11.92,22.20%,0.0028,0.025966528
5765,13.87,7.18%,0.0075,0.096556005
5766,3.56,2.63%,0.0014,0.0048529208
5767,20.66,19.11%,0.0033,0.0551491842
5768,16.43,6.84%,0.0053,0.0811227964
5769,14.61,13.14%,0.0083,0.1053290418
5770,10.07,15.69%,0.0096,0.0815041632
5771,1.97,11.48%,0.0048,0.0083704512
5772,11.86,21.12%,0.0001,0.0009355168
5773,6.94,17.14%,0.0073,0.0419785332
5774,15.07,11.60%,0.0072,0.095917536
5775,17.98,33.79%,0.0078,0.0928555524
5776,6.74,28.21%,0.0084,0.0406446264
5777,5.32,17.99%,0.0016,0.0069806912
5778,6.95,12.59%,0.0064,0.038879968
5779,8.99,8.73%,0.0029,0.0237950017
5780,24.7,37.66%,0.007,0.10778586
5781,17.84,8.20%,0.007,0.11463984
5782,16.97,12.48%,0.0035,0.051982504
5783,24.49,5.55%,0.0045,0.1040886225
5784,15.26,20.86%,0.005,0.06038382
5785,0.8,6.74%,0.0092,0.006863936
5786,9.53,38.45%,0.0039,0.0228762885
5787,19.11,2.43%,0.0098,0.1827271446
5788,16.49,1.77%,0.0027,0.0437349429
5789,19.08,4.87%,0.0063,0.1143500652
5790,3.87,25.46%,0.0041,0.0118272618
5791,7.87,13.96%,0.0009,0.0060942132
5792,24.41,8.09%,0.0074,0.1660207094
5793,17.55,37.97%,0.0035,0.0381019275
5794,4.85,16.40%,0.0065,0.0263549
5795,0.38,21.34%,0.0082,0.0024510456
5796,22.87,23.42%,0.0027,0.0472873842
5797,23.59,35.55%,0.0069,0.1049059095
5798,2.37,30.08%,0.008,0.013256832
5799,5.93,3.54%,0.0041,0.0234523198
5800,21.28,5.63%,0.0059,0.1184834224
5801,20.21,28.69%,0.0089,0.1282645839
5802,23.02,37.79%,0.0083,0.1188621586
5803,10.71,13.80%,0.0032,0.029542464
5804,13.79,16.13%,0.0003,0.0034697019
5805,12.76,20.79%,0.0006,0.0060643176
5806,14.41,23.92%,0.0035,0.038370948
5807,11.83,30.82%,0.0033,0.0270071802
5808,12.34,22.81%,0.0035,0.033338361
5809,16.01,32.64%,0.0057,0.0614707152
5810,22.11,31.93%,0.0007,0.0105351939
5811,5.25,19.46%,0.0068,0.02875278
5812,20.92,0.72%,0.0065,0.135000944
5813,0.39,37.57%,0.0021,0.0005113017
5814,9.99,11.48%,0.0082,0.0725138136
5815,12.92,0.36%,0.0044,0.0566433472
5816,14.78,3.97%,0.0065,0.092256021
5817,9.74,39.12%,0.0026,0.0154172512
5818,4.37,1.94%,0.001,0.004285222
5819,5.52,5.87%,0.0031,0.0161075256
5820,15.73,25.68%,0.0031,0.0362406616
5821,23.49,5.56%,0.0039,0.0865174284
5822,22.32,24.44%,0.0013,0.0219244896
5823,11.03,6.69%,0.0032,0.0329346976
5824,8.69,6.07%,0.0089,0.0726464013
5825,12.21,38.69%,0.0058,0.0434185158
5826,13.55,37.28%,0.0071,0.060339776
5827,19.86,4.04%,0.0043,0.0819479208
5828,15.59,21.24%,0.0027,0.0331524468
5829,21.07,32.62%,0.0045,0.063886347
5830,14.14,10.88%,0.0001,0.0012601568
5831,11.1,11.07%,0.0078,0.076995594
5832,22.64,16.60%,0.0047,0.088744272
5833,4.16,35.58%,0.0087,0.0233148864
5834,14.7,24.68%,0.0077,0.085254708
5835,6.61,14.03%,0.0018,0.0102287106
5836,24.93,29.84%,0.0065,0.113690772
5837,17.38,26.92%,0.0037,0.0469948248
5838,22.75,39.85%,0.0096,0.1313676
5839,8.86,3.56%,0.0044,0.0375961696
5840,1.4,33.84%,0.0063,0.005835312
5841,17.06,18.80%,0.0051,0.070648872
5842,24.86,19.96%,0.0044,0.0875509536
5843,9.51,0.82%,0.0066,0.0622513188
5844,4.73,37.89%,0.0034,0.0099885302
5845,18.1,10.31%,0.0028,0.045454892
5846,0.39,11.04%,0.009,0.003122496
5847,14.29,38.93%,0.0043,0.0375256829
5848,22.9,30.34%,0.0076,0.121236264
5849,3.97,36.13%,0.0077,0.0195244203
5850,5.84,11.07%,0.0015,0.007790268
5851,21.23,32.91%,0,0
5852,6.5,9.41%,0.0054,0.03179709
5853,18.07,18.67%,0.0097,0.1425544107
5854,8.01,28.97%,0.0092,0.0523434276
5855,20.64,20.99%,0.0074,0.1206767136
5856,20.53,36.93%,0.008,0.103586168
5857,22.73,0.21%,0.0056,0.1270206952
5858,4.32,23.94%,0.0095,0.031215024
5859,8.79,16.94%,0.0074,0.0540272076
5860,11.72,2.73%,0.0044,0.0501601936
5861,4.9,7.61%,0.0012,0.005432532
5862,7.67,22.18%,0.0024,0.0143251056
5863,9.78,23.11%,0.0013,0.0097757946
5864,9.56,4.17%,0.0013,0.0119097524
5865,6.05,27.72%,0.0084,0.036732696
5866,17.44,19.79%,0.0075,0.10491468
5867,2.91,36.59%,0.0022,0.0040595082
5868,4.82,0.25%,0.0066,0.03173247
5869,11.25,11.25%,0.0042,0.041934375
5870,6.15,20.98%,0.0093,0.045195489
5871,6.33,6.10%,0.0028,0.016642836
5872,4.53,36.55%,0,0
5873,15.12,22.73%,0.0018,0.0210298032
5874,19.51,6.09%,0.0013,0.0238183933
5875,18.78,17.68%,0.0068,0.1051259328
5876,2.17,37.32%,0.0014,0.0019042184
5877,3.39,39.48%,0.0073,0.0149768844
5878,17.92,15.75%,0.0073,0.11021248
5879,12.63,7.26%,0.0037,0.0433383294
5880,20.77,13.64%,0.0003,0.0053810916
5881,15.1,38.79%,0.0095,0.087805745
5882,3.38,37.58%,0.0007,0.0014768572
5883,0.09,13.70%,0.0015,0.000116505
5884,8.95,3.92%,0.0009,0.007739244
5885,8.71,24.59%,0.001,0.006568211
5886,11.31,8.52%,0.0077,0.0796671876
5887,20.77,17.81%,0.0084,0.1433952492
5888,11.51,39.90%,0.0055,0.038046305
5889,8.03,31.23%,0.0032,0.0176711392
5890,11.35,8.64%,0.0086,0.089176496
5891,0.51,34.26%,0.0004,0.0001341096
5892,23.62,38.47%,0.0024,0.0348801264
5893,19.81,34.49%,0.0087,0.1129045197
5894,9.26,39.10%,0.0007,0.003947538
5895,10.68,2.35%,0.0077,0.080303454
5896,6,16.11%,0.0041,0.02063694
5897,24.37,11.71%,0.0023,0.0494874279
5898,17.77,33.67%,0.0053,0.0624702573
5899,10.28,25.10%,0.0002,0.001539944
5900,20.75,21.99%,0.0081,0.1311153075
5901,20.51,6.87%,0,0
5902,9.12,16.68%,0.0081,0.0615501504
5903,5.54,35.23%,0.0017,0.0061000386
5904,24.48,39.25%,0.0051,0.07584516
5905,6.66,5.93%,0.0009,0.0056385558
5906,6.53,23.48%,0.0025,0.01249189
5907,14.35,1.23%,0.0038,0.053859281
5908,15.26,3.18%,0.0085,0.125585222
5909,18.68,1.72%,0.0029,0.0532402416
5910,8.72,9.58%,0.0087,0.0685962288
5911,15.32,26.63%,0.0033,0.0370929372
5912,17.67,13.00%,0.0069,0.10607301
5913,12.54,23.69%,0.0018,0.0172246932
5914,22.04,19.00%,0.0067,0.11961108
5915,3.57,26.85%,0.0085,0.0221973675
5916,5.72,21.96%,0.0075,0.03347916
5917,11.67,36.95%,0.0045,0.0331107075
5918,12.86,30.56%,0.0074,0.0660818816
5919,16.96,31.17%,0.0021,0.0245144928
5920,10.09,38.83%,0.005,0.030860265
5921,10.35,34.22%,0.0065,0.044253495
5922,15.58,32.06%,0.0095,0.100557994
5923,11.88,35.59%,0.001,0.007651908
5924,13.41,36.21%,0.0013,0.0111205107
5925,10.32,7.40%,0.0092,0.087918144
5926,11.35,5.69%,0.0051,0.0545913435
5927,9.23,34.60%,0.0057,0.034407594
5928,8.55,16.09%,0.007,0.050220135
5929,19.09,24.50%,0.0027,0.038914965
5930,20.83,7.61%,0.0016,0.0307917392
5931,10.03,37.34%,0.0042,0.0263961516
5932,17.31,1.06%,0.0015,0.025689771
5933,23.82,1.33%,0.0089,0.2091784266
5934,1.82,35.03%,0.0003,0.0003547362
5935,8.91,11.46%,0.0092,0.0725780088
5936,5.96,29.52%,0.0045,0.018902736
5937,13.97,34.72%,0.0007,0.0063837312
5938,3.95,19.83%,0.0096,0.030400464
5939,7.95,13.92%,0.0054,0.036954144
5940,8.92,26.56%,0.0035,0.022927968
5941,11.78,11.89%,0.006,0.062276148
5942,10.7,27.45%,0.0008,0.00621028
5943,2.83,32.00%,0.0042,0.00808248
5944,9.8,36.65%,0.0037,0.02297071
5945,11.11,23.82%,0.0066,0.0558597468
5946,19.82,39.62%,0.0079,0.0945417964
5947,16.21,28.82%,0.0016,0.0184612448
5948,7.95,16.94%,0.0055,0.036317985
5949,10.87,22.49%,0.0046,0.0387565502
5950,15.04,21.42%,0.0048,0.0567284736
5951,22.11,25.42%,0.0061,0.1005867918
5952,19.59,2.10%,0.0045,0.086303745
5953,3.83,9.01%,0.0084,0.0292733028
5954,4.27,36.20%,0.0055,0.01498343
5955,17.34,13.20%,0.002,0.03010224
5956,5.27,24.30%,0.0038,0.015159682
5957,2.7,8.37%,0.0037,0.009153837
5958,13.9,14.01%,0.0088,0.105182968
5959,11.17,35.37%,0.0091,0.0656944561
5960,1.22,12.23%,0.0009,0.0009637146
5961,9.38,7.20%,0.0097,0.084435008
5962,23.37,35.43%,0.0093,0.1403370837
5963,9.57,39.04%,0.0053,0.0309195216
5964,21,11.99%,0.0032,0.05914272
5965,23.91,8.12%,0.0078,0.1713543624
5966,0.17,6.56%,0.0074,0.0011754752
5967,13.29,1.94%,0.0057,0.0742833918
5968,16.02,3.47%,0.0097,0.1500018282
5969,24.28,18.29%,0.0019,0.0376944572
5970,22.37,33.21%,0.0008,0.0119527384
5971,1.48,33.93%,0.0028,0.0027379408
5972,0.31,25.91%,0.0017,0.0003904543
5973,20.04,24.01%,0.002,0.030456792
5974,12.03,18.21%,0.0038,0.0373894806
5975,6.42,6.98%,0.0008,0.0047775072
5976,9.79,18.00%,0.0052,0.04174456
5977,2.55,37.42%,0.0084,0.013404636
5978,16.62,7.50%,0.007,0.1076145
5979,15.57,16.89%,0.0079,0.1022277933
5980,3.97,9.93%,0.003,0.010727337
5981,21.03,22.57%,0.004,0.065134116
5982,21.54,37.12%,0.0061,0.0826205472
5983,24.02,36.87%,0.0018,0.0272948868
5984,13.48,6.58%,0.0078,0.0982255248
5985,3.64,5.94%,0.007,0.023966488
5986,24.01,25.54%,0.0079,0.1412349834
5987,19.05,17.16%,0.0088,0.138872976
5988,21.3,18.44%,0.0022,0.038219016
5989,21.26,4.25%,0.0043,0.087532735
5990,8.88,39.01%,0.0029,0.0157061448
5991,0.58,28.60%,0.0087,0.003602844
5992,17.38,23.63%,0.0034,0.0451285604
5993,4.77,17.77%,0.0058,0.0227497518
5994,15.18,34.86%,0.0027,0.0266982804
5995,4.81,25.95%,0.0034,0.012110137
5996,24.4,35.37%,0.0006,0.009461832
5997,12.98,38.87%,0.0015,0.011902011
5998,14.67,25.60%,0.0053,0.057846744
5999,6.5,34.85%,0.0065,0.027525875
6000,21.67,11.65%,0.0038,0.072752691
6001,14.73,23.18%,0.0088,0.0995771568
6002,1.63,20.46%,0.0019,0.0024633538
6003,21.26,5.64%,0.0067,0.1344082712
6004,9.33,10.66%,0.0076,0.0633492072
6005,1.92,24.88%,0.0077,0.0111057408
6006,0.65,9.19%,0.0056,0.003305484
6007,0.1,17.73%,0.0068,0.000559436
6008,23.95,34.49%,0.0089,0.1396378405
6009,0.15,18.78%,0.0036,0.000438588
6010,22.19,19.47%,0.0052,0.0929219564
6011,10.06,35.48%,0.0099,0.0642580488
6012,12.9,13.21%,0.0098,0.109719918
6013,2.78,9.97%,0.0059,0.0147667206
6014,3.58,35.36%,0.0073,0.0168930176
6015,11.88,17.44%,0.0077,0.0755225856
6016,1.07,0.97%,0.0094,0.0099604374
6017,4.08,38.26%,0.0042,0.0105797664
6018,11.19,15.02%,0.0091,0.0865342842
6019,15.26,3.04%,0.0077,0.1139299392
6020,16.22,2.15%,0.0049,0.077769223
6021,22.23,29.13%,0.0029,0.0456877629
6022,19.6,12.64%,0,0
6023,11.06,36.48%,0.009,0.063227808
6024,8.09,39.44%,0.0009,0.0044093736
6025,20.78,7.55%,0.0052,0.099897772
6026,4.52,17.52%,0.008,0.029824768
6027,11.26,10.40%,0.0065,0.06557824
6028,20.81,1.19%,0.0069,0.1418802909
6029,14.16,29.47%,0.0017,0.0169779816
6030,21.24,9.31%,0.0056,0.1078703136
6031,15.29,1.53%,0.0027,0.0406513701
6032,9.98,2.89%,0.0081,0.0785017818
6033,18.05,1.57%,0.0099,0.1758894885
6034,19.37,16.70%,0.0025,0.040338025
6035,1.01,14.67%,0.0042,0.0036196986
6036,9.26,27.92%,0.0081,0.0540643248
6037,20.16,29.64%,0.0054,0.0765967104
6038,15.17,0.90%,0.0081,0.121771107
6039,24.23,2.76%,0.0093,0.2191196436
6040,22.94,35.93%,0.0095,0.139627751
6041,17.21,15.42%,0.0054,0.0786035772
6042,24.69,32.31%,0.0018,0.0300827898
6043,4.31,9.47%,0.0083,0.0323852969
6044,12.08,23.31%,0.0084,0.0778188768
6045,24.49,3.29%,0.0033,0.0781581207
6046,9.91,4.80%,0.0085,0.08019172
6047,24.17,25.70%,0.0098,0.175991438
6048,4.65,24.87%,0.0087,0.0303938415
6049,16.61,11.93%,0.0036,0.0526623372
6050,17.3,2.16%,0.0072,0.121869504
6051,14.27,30.72%,0.0023,0.0227383888
6052,8.14,23.76%,0.0019,0.0117912784
6053,8.64,12.41%,0.0069,0.0522176544
6054,7.35,26.39%,0.0042,0.022723407
6055,1.88,7.84%,0.0004,0.0006930432
6056,15.59,22.31%,0.0081,0.0981061551
6057,17.03,20.59%,0.0047,0.0635605581
6058,14.85,32.99%,0.0014,0.013931379
6059,16.1,25.22%,0.0003,0.003611874
6060,11.94,29.87%,0.001,0.008373522
6061,19.58,29.55%,0.0043,0.059314673
6062,7.28,39.13%,0.0037,0.0163959432
6063,13.31,22.79%,0.0093,0.0955728543
6064,11.87,29.05%,0.0055,0.0463197075
6065,20.49,35.52%,0.0005,0.006605976
6066,14.42,34.87%,0.0027,0.0253577142
6067,23.43,17.38%,0.0001,0.0019357866
6068,5.93,29.01%,0.0022,0.0092613554
6069,5.15,27.93%,0.0042,0.015588741
6070,24.35,17.40%,0.005,0.1005655
6071,1.99,15.11%,0.001,0.001689311
6072,16.75,22.81%,0.0048,0.06206076
6073,6.7,5.37%,0.0057,0.036139197
6074,6.46,13.50%,0.0092,0.05140868
6075,21.63,3.80%,0.0086,0.178949316
6076,4.07,13.49%,0.007,0.024646699
6077,19.21,24.65%,0.0083,0.1201403005
6078,16.19,11.27%,0.0021,0.0301673127
6079,13.04,14.54%,0.0064,0.0713214976
6080,3.31,25.22%,0.0034,0.0084157412
6081,12.71,23.50%,0.0075,0.072923625
6082,21.81,37.58%,0.005,0.06806901
6083,18.44,28.83%,0.0005,0.006561874
6084,8.85,32.41%,0.0063,0.0376848045
6085,5.18,0.53%,0.001,0.005152546
6086,4.56,4.23%,0.0062,0.0270760944
6087,15.39,2.37%,0.0075,0.1126894275
6088,12.22,22.13%,0.0099,0.0942055686
6089,19.37,14.44%,0.0075,0.12429729
6090,13.01,16.39%,0.0054,0.0587393694
6091,9.41,12.44%,0.0015,0.012359094
6092,12.4,19.95%,0.0097,0.09628414
6093,1.7,5.68%,0.0066,0.010582704
6094,4.84,22.19%,0.0051,0.0192066204
6095,2.98,3.99%,0.0056,0.0160221488
6096,15.58,17.51%,0.0022,0.0282742724
6097,13.77,5.87%,0.002,0.025923402
6098,2.9,8.19%,0.0029,0.007721221
6099,15.56,15.05%,0.0024,0.031723728
6100,15.16,1.16%,0.0014,0.0209778016
6101,6.59,12.45%,0.0094,0.054233723
6102,1.67,8.66%,0.0076,0.0115928728
6103,19.49,26.06%,0.0028,0.0403505368
6104,16.46,5.28%,0.0036,0.0561272832
6105,15.11,15.04%,0.0009,0.0115537104
6106,9.98,33.20%,0.0026,0.017333264
6107,19.8,8.40%,0.0037,0.06710616
6108,12.26,17.48%,0.0068,0.0687952736
6109,7.58,39.63%,0.001,0.004576046
6110,12.38,33.85%,0.0081,0.066333897
6111,11.86,34.70%,0.0005,0.00387229
6112,20.25,9.50%,0.0023,0.042150375
6113,4.24,37.72%,0.0034,0.0089782848
6114,24.59,18.31%,0.0088,0.1767706248
6115,5.89,39.66%,0.0039,0.0138607014
6116,14.56,25.05%,0.0068,0.074206496
6117,8.47,23.85%,0.005,0.032249525
6118,16.87,5.33%,0.006,0.095824974
6119,24.11,36.30%,0.0024,0.036859368
6120,9.38,27.61%,0.0034,0.0230866188
6121,19.74,33.91%,0.0099,0.1291570434
6122,16.04,17.67%,0.0037,0.0488612084
6123,4.31,25.11%,0.0064,0.0206576576
6124,21.42,23.66%,0.0073,0.1193698044
6125,8.81,32.55%,0.002,0.01188469
6126,11.4,3.88%,0.0055,0.06026724
6127,23.09,3.77%,0.0086,0.1910877602
6128,1.49,1.91%,0.0098,0.0143231018
6129,5.92,21.76%,0.008,0.037054464
6130,19.15,3.36%,0.0094,0.173961664
6131,7.72,17.99%,0.0026,0.0164610472
6132,6.82,29.38%,0.0055,0.026489562
6133,18.67,18.12%,0.0076,0.1161811696
6134,24.79,21.85%,0.0085,0.1646737725
6135,12.58,11.11%,0.0043,0.0480841566
6136,6.28,36.32%,0.0003,0.0011997312
6137,24.63,22.19%,0.0049,0.0939065547
6138,20.52,33.09%,0.0078,0.1070934696
6139,19.79,28.78%,0.0051,0.0718816338
6140,20.74,17.10%,0.0013,0.022351498
6141,5.61,21.58%,0.001,0.004399362
6142,5.6,25.23%,0.002,0.00837424
6143,7.17,5.78%,0.0063,0.0425601162
6144,6.68,0.33%,0.0032,0.0213054592
6145,15.46,4.92%,0.0003,0.0044098104
6146,16.12,3.72%,0.0093,0.1443391248
6147,3.46,9.32%,0.0028,0.0087850784
6148,12.14,20.20%,0.0074,0.071689128
6149,23.42,8.11%,0.0094,0.2022939972
6150,16.42,17.06%,0.0069,0.0939693612
6151,9.65,18.06%,0.0019,0.015023699
6152,19.46,29.26%,0.004,0.055064016
6153,12.72,27.14%,0.0007,0.0064874544
6154,0.76,8.09%,0.0008,0.0005588128
6155,6.03,1.60%,0.0006,0.003560112
6156,13.06,38.03%,0.0037,0.0299451434
6157,19.59,3.25%,0.0032,0.06065064
6158,18.99,15.93%,0.0036,0.0574736148
6159,12.25,13.39%,0.004,0.0424389
6160,11.2,34.64%,0.0021,0.015372672
6161,12.67,36.52%,0.004,0.032171664
6162,14.06,35.81%,0.004,0.036100456
6163,15.37,2.51%,0.0017,0.0254731621
6164,0.33,34.32%,0.0002,0.0000433488
6165,15.13,4.35%,0.0012,0.017366214
6166,13.03,36.55%,0.0068,0.056219238
6167,15.53,38.31%,0.0095,0.0910143415
6168,21.51,34.86%,0.0002,0.0028023228
6169,11.99,8.24%,0.0052,0.0572105248
6170,15.18,20.32%,0.0074,0.0895061376
6171,8.82,17.20%,0.0059,0.043087464
6172,17.08,39.10%,0.0061,0.063450492
6173,0.27,25.26%,0.0097,0.0019574406
6174,15.21,16.67%,0.002,0.025348986
6175,18.44,26.63%,0.0088,0.1190589664
6176,16.34,4.40%,0.006,0.09372624
6177,5.54,29.69%,0.0025,0.009737935
6178,10.23,2.25%,0.0022,0.021999615
6179,10.6,19.30%,0.003,0.0256626
6180,14.07,21.04%,0.0004,0.0044438688
6181,24.65,15.95%,0.0099,0.2051114175
6182,0.4,22.36%,0.0095,0.00295032
6183,15.66,20.86%,0.0073,0.0904712652
6184,15.25,7.90%,0.0026,0.03651765
6185,14.38,18.32%,0.0022,0.0258402848
6186,11.35,13.33%,0.0027,0.0265600215
6187,22.72,14.54%,0.0015,0.029124768
6188,21.75,5.99%,0.0073,0.1492643775
6189,19.98,0.15%,0.0008,0.015960024
6190,5.58,4.33%,0.0065,0.034699509
6191,1.76,23.82%,0.003,0.004022304
6192,24.28,7.92%,0.0059,0.1319064416
6193,4.91,8.73%,0.0072,0.0322657704
6194,11.03,28.36%,0.0084,0.0663758928
6195,16.85,32.17%,0.0019,0.0217157745
6196,5.06,14.02%,0.0031,0.0134868228
6197,8.85,31.54%,0.0077,0.046652067
6198,22.45,29.68%,0.0006,0.009472104
6199,3.23,8.03%,0.0073,0.0216856063
6200,23.87,2.55%,0.0063,0.1465462845
6201,8.91,24.87%,0.0027,0.0180740241
6202,14.98,8.86%,0.0097,0.1324318884
6203,5.07,9.86%,0.0013,0.0059411274
6204,23.35,19.44%,0.0088,0.165534688
6205,23.98,18.76%,0.0036,0.0701328672
6206,2.28,20.91%,0.0002,0.0003606504
6207,10.58,14.83%,0.0025,0.022527465
6208,24.92,30.98%,0.008,0.137598272
6209,15.39,3.81%,0.0066,0.0977040306
6210,4.21,21.98%,0.0061,0.0200363162
6211,7.5,16.69%,0.0052,0.0324909
6212,18.53,3.60%,0.0047,0.083955724
6213,3.91,10.14%,0.0043,0.0151081618
6214,6.63,21.03%,0.0065,0.0340321215
6215,24.35,35.60%,0.0082,0.12858748
6216,0.9,13.88%,0.0099,0.007673292
6217,3.41,24.98%,0.0008,0.0020465456
6218,1.77,35.08%,0.0001,0.0001149084
6219,5.41,10.52%,0.0072,0.0348542496
6220,2.72,35.97%,0.0053,0.0092305648
6221,9.88,23.19%,0.0052,0.0394619056
6222,4.92,4.89%,0.0037,0.0173138244
6223,5.72,35.46%,0.005,0.01845844
6224,13.64,17.89%,0.003,0.033599412
6225,13.45,21.87%,0.0081,0.0851187285
6226,19.17,8.10%,0.0032,0.056375136
6227,17.14,32.04%,0.0088,0.1025054272
6228,17.93,7.20%,0.0043,0.071547872
6229,22.34,12.23%,0.0022,0.0431371996
6230,19,39.93%,0.0014,0.01597862
6231,10.03,32.77%,0.0034,0.0229267746
6232,0.29,25.33%,0.0054,0.0011693322
6233,14.93,26.83%,0.0012,0.0131091372
6234,19.98,39.07%,0.0012,0.0146085768
6235,0.55,4.66%,0.001,0.00052437
6236,21.85,28.26%,0.0015,0.023512785
6237,16.43,2.64%,0.0015,0.023994372
6238,8.07,32.85%,0.0083,0.0449777415
6239,6.21,5.00%,0.0078,0.0460161
6240,11.5,17.18%,0.0077,0.07333711
6241,19.88,36.14%,0.0093,0.1180669224
6242,5.81,35.43%,0.0056,0.0210084952
6243,11.57,29.07%,0.0069,0.0566255469
6244,5.44,17.19%,0.0003,0.0013514592
6245,9.72,0.16%,0.0051,0.0494926848
6246,7.03,2.52%,0.0068,0.0465993392
6247,23.59,31.19%,0.0031,0.0503200649
6248,24.77,35.74%,0.0043,0.0684439686
6249,13.98,11.42%,0.0023,0.0284820132
6250,0.52,12.94%,0.0067,0.0030331704
6251,22.89,12.82%,0.0073,0.1456751646
6252,6.99,29.86%,0.0093,0.0455959098
6253,1.62,8.20%,0.0072,0.010707552
6254,7.56,35.60%,0.006,0.02921184
6255,8.76,19.36%,0.0004,0.0028256256
6256,24.93,32.67%,0.0019,0.0318922011
6257,11.99,31.69%,0.0059,0.0483231771
6258,23.37,36.60%,0.0039,0.057784662
6259,20.92,20.52%,0.0054,0.0897869664
6260,15.58,29.09%,0.0039,0.0430863342
6261,17.98,23.52%,0.0042,0.0577546368
6262,19.3,31.94%,0.0083,0.109025314
6263,13.28,10.82%,0.0004,0.0047372416
6264,11.1,23.30%,0.0055,0.04682535
6265,16.79,21.98%,0.0058,0.0759774364
6266,23.68,7.87%,0.0031,0.0676307904
6267,9.1,27.58%,0.0031,0.020429682
6268,13.9,36.17%,0.0053,0.047023561
6269,11.23,34.83%,0.0065,0.0475708415
6270,23.36,5.04%,0.0013,0.0288374528
6271,11.42,15.68%,0.0059,0.0568131296
6272,24.09,29.09%,0.0085,0.1451988615
6273,15.28,20.39%,0.006,0.072986448
6274,12.6,32.19%,0.0033,0.028195398
6275,11.29,39.65%,0.0057,0.0388370355
6276,18.52,25.53%,0.0003,0.0041375532
6277,5.33,3.33%,0.0067,0.0345218237
6278,24.44,5.42%,0.0037,0.0855268024
6279,14.63,27.86%,0.0065,0.068601533
6280,8.36,36.74%,0.0076,0.0401928736
6281,21.67,3.69%,0.0024,0.0500889048
6282,15.05,2.27%,0.0032,0.047066768
6283,7.73,0.37%,0.0052,0.0400472748
6284,3.92,33.54%,0.0071,0.0184971472
6285,10.2,6.81%,0.0021,0.019961298
6286,17.97,38.55%,0.0013,0.0143553345
6287,14.7,28.09%,0.0032,0.033826464
6288,13.51,23.74%,0.0018,0.0185449068
6289,4.07,0.49%,0.0014,0.0056700798
6290,10.93,25.13%,0.006,0.049099746
6291,15.81,22.01%,0.0063,0.0776803797
6292,4.77,1.71%,0.001,0.004688433
6293,8.92,22.88%,0.0038,0.0261405952
6294,10.25,7.69%,0.0082,0.077586555
6295,10.43,24.01%,0.01,0.07925757
6296,4.8,30.47%,0.0074,0.024697056
6297,15.58,34.73%,0.0039,0.0396593574
6298,16.08,2.86%,0.0088,0.1374569856
6299,15.03,12.47%,0.0063,0.0828812817
6300,13.27,6.98%,0.01,0.12343754
6301,23.43,13.25%,0.0044,0.08943231
6302,1.2,9.48%,0.0091,0.009884784
6303,4.11,13.58%,0.0056,0.0198904272
6304,15.88,18.30%,0.0041,0.053193236
6305,17.55,25.05%,0.01,0.13153725
6306,8.32,4.76%,0.0092,0.0729005056
6307,10.07,25.18%,0.0041,0.0308909334
6308,7.47,28.21%,0.0002,0.0010725426
6309,1.42,34.79%,0.009,0.008333838
6310,5.23,8.49%,0.0037,0.0177081001
6311,12.77,16.47%,0.0043,0.0458671583
6312,18.17,22.00%,0.0079,0.11196354
6313,12.39,11.39%,0.0046,0.0505023834
6314,5.59,9.97%,0.0056,0.0281829912
6315,10.19,13.23%,0.0027,0.0238730301
6316,22.47,17.67%,0.0074,0.1368966774
6317,11.21,9.65%,0.0013,0.0131667055
6318,14.89,36.33%,0.0015,0.0142206945
6319,11.71,33.72%,0.0015,0.011642082
6320,14.43,38.38%,0.0068,0.0604640088
6321,10.16,1.93%,0.0072,0.0717401664
6322,16.82,3.41%,0.0071,0.1153497098
6323,4.09,11.21%,0.0038,0.0137997418
6324,19.57,35.78%,0.009,0.113110686
6325,18.63,33.59%,0.0022,0.0272188026
6326,0.52,28.29%,0.009,0.003356028
6327,22.14,0.18%,0.0049,0.1082907252
6328,16.76,34.17%,0.0065,0.071715202
6329,0.05,10.44%,0.0014,0.000062692
6330,12.68,38.53%,0.0041,0.0319570236
6331,0.17,39.51%,0.0037,0.0003804821
6332,1.91,23.45%,0.0015,0.0021931575
6333,15.5,6.00%,0.006,0.08742
6334,0.04,38.97%,0.001,0.000024412
6335,23.53,16.84%,0.0098,0.1917619704
6336,5.16,38.52%,0.0089,0.0282340752
6337,6.18,38.38%,0.0062,0.0236103192
6338,15.72,8.50%,0.0054,0.07767252
6339,5.83,6.11%,0.0053,0.0290110711
6340,23.68,5.96%,0.001,0.022268672
6341,19.55,13.45%,0.0038,0.064297995
6342,8.98,9.01%,0.0099,0.0808919298
6343,10.46,4.53%,0.0002,0.0019972324
6344,22,39.17%,0.0069,0.09233994
6345,2.43,28.58%,0.0074,0.0128427444
6346,11.73,33.84%,0.0008,0.0062084544
